id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00001,principal,carga_faixas,heuristico,{},90.97959895689502,90.97959895689502,1,0.06422892010570067,0.06379614904621922,10,2,0,0,59.512763752404986,57.8175199676872,60,19.28911586252646,600,0,0,0.019289115862526462,400,10,60,nan,0,nan,nan,nan,nan,nan,0.004099,8.3e-06,1.22e-05,0.00014155,0.0057702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00001.mat,campanha_v1
j00002,principal,carga_faixas,heuristico_foresight,{},4.67481628589934,4.67481628589934,1,0.003300282757656243,0.002853638055887286,4,0,0,0,59.52125715462317,57.67728135795952,60,20.738049321606166,600,0,0,0.020738049321606167,400,4,59.877154566927075,nan,0,nan,nan,nan,nan,nan,0.0040862,9.3e-06,1.27e-05,0.0001105,0.0040862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00002.mat,campanha_v1
j00003,principal,carga_faixas,miope_qp,{},102.78268126816418,102.78268126816418,1,0.03603544876850129,0.036030804299576176,2,1,1,0,59.24942167409445,57.779168614335155,60,18.28712308064124,1237.1857078008113,0,0,0.01828712308064124,400,2,59.97216934448677,nan,0,nan,nan,nan,nan,nan,0.7429611,0.0005965,0.0009254,0.00127845,0.7429611,0.1445282,0.0005237,0.0007983,0.0009953499999999999,0.1445282,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00003.mat,campanha_v1
j00004,principal,carga_faixas,mpc_qp_v5,{},0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.2424054,0.021639,0.0309311,0.0365623,0.2424054,0.0887277,0.0173691,0.02546625,0.0305256,0.0887277,0.0893186,0.0039975,0.00531435,0.007434400000000001,0.0893186,0,05_resultados\revisao_operacional\campanha_v1\j00004.mat,campanha_v1
j00005,principal,carga_faixas,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,3.870980744665989e-15,0,0,0,0,0,53.36237430422523,52.46316486629204,60,40.532648137393316,759.2156301538412,0,0,0.040532648137393316,400,0,57.99375015852562,0.014640261611127414,860,0,0,1.1891643225681037e-10,666566.4016168036,8030487551224027.0,0.0584343,0.05165625,0.0630581,0.0709854,0.0891632,0.0267305,0.0391475,0.048915749999999994,0.055599350000000006,0.0753009,0.0167204,0.011731,0.0147423,0.01698505,0.0328482,0,05_resultados\revisao_operacional\campanha_v1\j00005.mat,campanha_v1
j00006,principal,limite_fonte,heuristico,{},90.97959895689502,90.97959895689502,1,0.06422892010569978,0.06379614904621922,10,2,0,0,51.241592053355326,51.241592053355326,60,41.602437746560966,150,0,0,0.041602437746560965,200,10,60,nan,0,nan,nan,nan,nan,nan,0.0009792,8.2e-06,1.03e-05,1.56e-05,0.0009792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00006.mat,campanha_v1
j00007,principal,limite_fonte,heuristico_foresight,{},4.67481628589934,4.67481628589934,1,0.00330028275765541,0.002853638055887286,4,0,0,0,51.105919538735456,51.105919538735456,60,42.24688219100541,150,0,0,0.04224688219100541,200,4,59.877154566927075,nan,0,nan,nan,nan,nan,nan,0.0017544,9e-06,1.135e-05,2.12e-05,0.0017544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00007.mat,campanha_v1
j00008,principal,limite_fonte,miope_qp,{},102.78262296256007,102.78262296256007,1,0.03604968309237948,0.03603077190715091,2,1,1,0,51.23562864032509,51.23562864032509,60,41.63076395845623,330.24801284726226,0,0,0.041630763958456225,200,2,59.99998820295704,nan,0,nan,nan,nan,nan,nan,0.0074268,0.00061235,0.0008258,0.0010601500000000002,0.0074268,0.006006,0.0005439500000000001,0.0007301,0.00094405,0.006006,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00008.mat,campanha_v1
j00009,principal,limite_fonte,mpc_qp_v5,{},5.684341886080802e-14,0,1,4.525834738384814e-15,0,0,0,0,0,50.83058161150191,50.83058161150191,60,43.55473734536567,152.33541664108074,0,0,0.04355473734536568,200,0,59.628468060794916,7.105427357601002e-15,0,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.031873,0.02838535,0.03607135,0.0416247,0.0467299,0.0153729,0.0237921,0.030671999999999998,0.03526575,0.0407814,0.0045018,0.0042079000000000005,0.00545265,0.0066307,0.0125431,0,05_resultados\revisao_operacional\campanha_v1\j00009.mat,campanha_v1
j00010,principal,limite_fonte,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,2.4790046558741275e-15,0,0,0,0,0,38.276102023975945,38.276102023975945,60,103.1885153861141,472.7051040461688,0,0,0.10318851538611411,200,0,58.15878241415198,7.105427357601002e-15,0,0,0,0.0013687364045154027,666566.4042708572,8858386386927326.0,0.0490641,0.05730085,0.0662305,0.07739275,0.0948498,0.0323376,0.045549400000000004,0.05140585,0.05829445,0.0753655,0.0128801,0.0115984,0.014622900000000001,0.0188271,0.0289832,0,05_resultados\revisao_operacional\campanha_v1\j00010.mat,campanha_v1
